~id,~label,name:String
github_cloner/config.py,File,github_cloner/config.py
github_cloner/config.py:Settings,Class,Settings
module:os,Module,os
github_cloner/main.py,File,github_cloner/main.py
github_cloner/main.py:lifespan,Function,lifespan
github_cloner/main.py:clone_repo_endpoint,Function,clone_repo_endpoint
module:uuid,Module,uuid
module:asyncio,Module,asyncio
module:datetime.datetime,Module,datetime.datetime
module:datetime.timedelta,Module,datetime.timedelta
module:datetime.timezone,Module,datetime.timezone
module:fastapi.FastAPI,Module,fastapi.FastAPI
module:fastapi.HTTPException,Module,fastapi.HTTPException
module:fastapi.BackgroundTasks,Module,fastapi.BackgroundTasks
module:contextlib.asynccontextmanager,Module,contextlib.asynccontextmanager
module:config.settings,Module,config.settings
module:models.CloneRequest,Module,models.CloneRequest
module:models.CloneResponse,Module,models.CloneResponse
module:services.validate_github_url,Module,services.validate_github_url
module:services.clone_repository,Module,services.clone_repository
module:services.cleanup_task,Module,services.cleanup_task
module:services.cleanup_stale_directories_worker,Module,services.cleanup_stale_directories_worker
module:shutil,Module,shutil
github_cloner/services.py,File,github_cloner/services.py
github_cloner/services.py:validate_github_url,Function,validate_github_url
github_cloner/services.py:clone_repository,Function,clone_repository
github_cloner/services.py:cleanup_task,Function,cleanup_task
github_cloner/services.py:cleanup_stale_directories_worker,Function,cleanup_stale_directories_worker
module:time,Module,time
module:httpx,Module,httpx
module:git.Repo,Module,git.Repo
